ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
23;MAUA;3539;SANTA TERESA;2024;14/01/2024;15:30:00;SAO LEOPOLDO;MAUA, 3539, SANTA TERESA, SAO LEOPOLDO;VEICULO;domingo;-29.787206686352317, -51.14076962527401;;;;;;;;;;;;;;
24;CATULO CEARENSE;660;SCHARLAU;2024;16/01/2024;21:00:00;SAO LEOPOLDO;CATULO CEARENSE, 660, SCHARLAU, SAO LEOPOLDO;VEICULO;terça-feira;-29.73592464294886, -51.155971921395206;;;;;;;;;;;;;;
25;DO MEIO;51;SANTOS DUMONT;2024;17/01/2024;05:30:00;SAO LEOPOLDO;DO MEIO, 51, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.718748945750473, -51.1478441320232;;;;;;;;;;;;;;
26;FELIPE UEBEL;1027;RIO BRANCO;2024;18/01/2024;06:30:00;SAO LEOPOLDO;FELIPE UEBEL, 1027, RIO BRANCO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.771425,-51.119597;;;;;;;;;;;;;;
27;MAUA;0;RIO DOS SINOS;2024;18/01/2024;07:00:00;SAO LEOPOLDO;MAUA, 0, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.744475,-51.144274;;;;;;;;;;;;;;
28;IDA SCHUCH;400;VICENTINA;2024;18/01/2024;14:30:00;SAO LEOPOLDO;IDA SCHUCH, 400, VICENTINA, SAO LEOPOLDO;VEICULO;quinta-feira;-29.77385430014751, -51.159892045515235;;;;;;;;;;;;;;
29;SANTO ANTONIO;1352;CENTRO;2024;18/01/2024;00:00:00;SAO LEOPOLDO;SANTO ANTONIO, 1352, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.770579,-51.150898;;;;;;;;;;;;;;
30;MAUA;0;RIO DOS SINOS;2024;19/01/2024;06:30:00;SAO LEOPOLDO;MAUA, 0, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.744475,-51.144274;;;;;;;;;;;;;;
31;SAO SIMAO;20;SANTOS DUMONT;2024;22/01/2024;23:00:00;SAO LEOPOLDO;SAO SIMAO, 20, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.74105466402023, -51.150091634887886;;;;;;;;;;;;;;
32;GESSE A DE SOUZA;325;FEITORIA;2024;22/01/2024;09:30:00;SAO LEOPOLDO;GESSE A DE SOUZA, 325, FEITORIA, SAO LEOPOLDO;VEICULO;segunda-feira;-29.756131360872004, -51.1104676896928;;;;;;;;;;;;;;
33;BONIFACIO GLAUBER;36;BOA VISTA;2024;23/01/2024;16:30:00;SAO LEOPOLDO;BONIFACIO GLAUBER, 36, BOA VISTA, SAO LEOPOLDO;VEICULO;terça-feira;-29.725926907092532, -51.163926118529496;;;;;;;;;;;;;;
34;IRACEMA;85;JARDIM AMERICA;2024;24/01/2024;04:30:00;SAO LEOPOLDO;IRACEMA, 85, JARDIM AMERICA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.777639,-51.135782;;;;;;;;;;;;;;
35;MAUA;47;DUQUE DE CAXIAS;2024;24/01/2024;22:00:00;SAO LEOPOLDO;MAUA, 47, DUQUE DE CAXIAS, SAO LEOPOLDO;VEICULO;quarta-feira;-29.798388,-51.135466;;;;;;;;;;;;;;
36;DA ESTACAO;250;RIO DOS SINOS;2024;25/01/2024;20:30:00;SAO LEOPOLDO;DA ESTACAO, 250, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.750532,-51.147974;;;;;;;;;;;;;;
37;HENRIQUE BIER;483;CAMPINA;2024;25/01/2024;07:00:00;SAO LEOPOLDO;HENRIQUE BIER, 483, CAMPINA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.746815,-51.154355;;;;;;;;;;;;;;
38;SAO FRANCISCO;699;CENTRO;2024;26/01/2024;18:00:00;SAO LEOPOLDO;SAO FRANCISCO, 699, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.765837,-51.149603;;;;;;;;;;;;;;
39;OSCAR BALDUINO PETRY;45;FAZENDA SAO BORJA;2024;26/01/2024;21:00:00;SAO LEOPOLDO;OSCAR BALDUINO PETRY, 45, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.789497,-51.121233;;;;;;;;;;;;;;
40;VITOR MEIRELES;141;SAO JOSE;2024;26/01/2024;16:00:00;SAO LEOPOLDO;VITOR MEIRELES, 141, SAO JOSE, SAO LEOPOLDO;VEICULO;sexta-feira;-29.768782671699945, -51.13350346371715;;;;;;;;;;;;;;
41;WILHELM ROTERMUND;532;RIO BRANCO;2024;26/01/2024;15:30:00;SAO LEOPOLDO;WILHELM ROTERMUND, 532, RIO BRANCO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.774420,-51.135883;;;;;;;;;;;;;;
42;QUIMISINOS;170;ARROIO DA MANTEIGA;2024;27/01/2024;23:30:00;SAO LEOPOLDO;QUIMISINOS, 170, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;sábado;-29.71748793600532, -51.17722566698575;;;;;;;;;;;;;;
