ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
102;LUIS PEDRO DAUDT;0;SAO MIGUEL;2024;01/03/2024;18:00:00;SAO LEOPOLDO;LUIS PEDRO DAUDT, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.757171189160314, -51.15871650318658;;;;;;;;;;;;;;
103;JACY PORTO;495;VICENTINA;2024;06/03/2024;19:00:00;SAO LEOPOLDO;JACY PORTO, 495, VICENTINA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.772179,-51.155805;;;;;;;;;;;;;;
104;INDEPENDENCIA;500;CENTRO;2024;07/03/2024;21:00:00;SAO LEOPOLDO;INDEPENDENCIA, 500, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.764044,-51.146331;;;;;;;;;;;;;;
105;PEDRO PERES;250;RIO BRANCO;2024;08/03/2024;12:00:00;SAO LEOPOLDO;PEDRO PERES, 250, RIO BRANCO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.771920,-51.134391;;;;;;;;;;;;;;
106;JOAO CORREA;881;CENTRO;2024;10/03/2024;16:30:00;SAO LEOPOLDO;JOAO CORREA, 881, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.77059828784691, -51.14395225022305;;;;;;;;;;;;;;
107;MAUA;3539;SANTA TERESA;2024;10/03/2024;00:00:00;SAO LEOPOLDO;MAUA, 3539, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;domingo;-29.78719737504848, -51.14072134551466;;;;;;;;;;;;;;
108;GEORG HOEFEL;540;ARROIO DA MANTEIGA;2024;11/03/2024;15:00:00;SAO LEOPOLDO;GEORG HOEFEL, 540, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.717683,-51.181837;;;;;;;;;;;;;;
109;MAUA;266;RIO DOS SINOS;2024;11/03/2024;07:00:00;SAO LEOPOLDO;MAUA, 266, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.748717,-51.144724;;;;;;;;;;;;;;
110;SAO JOAO;1140;CENTRO;2024;11/03/2024;15:30:00;SAO LEOPOLDO;SAO JOAO, 1140, CENTRO, SAO LEOPOLDO;VEICULO;segunda-feira;-29.769476,-51.149594;;;;;;;;;;;;;;
111;ALEXANDRE FLEMING;234;SANTOS DUMONT;2024;12/03/2024;19:00:00;SAO LEOPOLDO;ALEXANDRE FLEMING, 234, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.733728843360744, -51.14451906372504;;;;;;;;;;;;;;
112;BRASIL CAMORETO GAL;0;SANTA TERESA;2024;12/03/2024;10:30:00;SAO LEOPOLDO;BRASIL CAMORETO GAL, 0, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.786860197721772, -51.13763800318559;;;;;;;;;;;;;;
113;BALDUINO BAUM;0;ARROIO DA MANTEIGA;2024;12/03/2024;15:30:00;SAO LEOPOLDO;BALDUINO BAUM, 0, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;terça-feira;-29.71416094654593, -51.18368797435269;;;;;;;;;;;;;;
114;BR 116;0;VICENTINA;2024;13/03/2024;00:00:00;SAO LEOPOLDO;BR 116, 0, VICENTINA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.777418,-51.155781;;;;;;;;;;;;;;
115;MONTEIRO LOBATO;403;RIO BRANCO;2024;13/03/2024;12:30:00;SAO LEOPOLDO;MONTEIRO LOBATO, 403, RIO BRANCO, SAO LEOPOLDO;VEICULO;quarta-feira;-29.770234,-51.129625;;;;;;;;;;;;;;
116;OITAVO BC;208;FIAO;2024;14/03/2024;14:00:00;SAO LEOPOLDO;OITAVO BC, 208, FIAO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.776888,-51.150016;;;;;;;;;;;;;;
117;MAUA;924;RIO DOS SINOS;2024;14/03/2024;19:00:00;SAO LEOPOLDO;MAUA, 924, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;quinta-feira;-29.75337230283059, -51.14347227435128;;;;;;;;;;;;;;
118;SENADOR SALGADO FILHO;0;SCHARLAU;2024;17/03/2024;02:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 0, SCHARLAU, SAO LEOPOLDO;VEICULO;domingo;-29.724373,-51.149095;;;;;;;;;;;;;;
119;DA ESTACAO;336;RIO DOS SINOS;2024;18/03/2024;05:00:00;SAO LEOPOLDO;DA ESTACAO, 336, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.75041828133438, -51.14748637906283;;;;;;;;;;;;;;
120;DOM JOAO BECKER;665;CENTRO;2024;18/03/2024;23:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.760571,-51.148664;;;;;;;;;;;;;;
121;MAUA;2640;PADRE REUS;2024;18/03/2024;01:00:00;SAO LEOPOLDO;MAUA, 2640, PADRE REUS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.733896,-51.142443;;;;;;;;;;;;;;
122;JOSE DE BRITO FILHO;45;BOA VISTA;2024;18/03/2024;11:30:00;SAO LEOPOLDO;JOSE DE BRITO FILHO, 45, BOA VISTA, SAO LEOPOLDO;RESIDENCIA;segunda-feira;-29.698154,-51.192664;;;;;;;;;;;;;;
123;BENTO GONCALVES;432;CENTRO;2024;19/03/2024;23:30:00;SAO LEOPOLDO;BENTO GONCALVES, 432, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.763765988544062, -51.14829238969278;;;;;;;;;;;;;;
124;JOAO NEVES DA FONTOURA;110;CENTRO;2024;19/03/2024;06:00:00;SAO LEOPOLDO;JOAO NEVES DA FONTOURA, 110, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.763800,-51.141533;;;;;;;;;;;;;;
125;GETULIO VARGAS;1802;FIAO;2024;20/03/2024;21:30:00;SAO LEOPOLDO;GETULIO VARGAS, 1802, FIAO, SAO LEOPOLDO;VEICULO;quarta-feira;-29.775226962637337, -51.15453643202144;;;;;;;;;;;;;;
126;DOM JOAO BECKER;665;CENTRO;2024;21/03/2024;21:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.760571,-51.148664;;;;;;;;;;;;;;
127;LEOPOLDO WASUN;759;SANTOS DUMONT;2024;21/03/2024;19:00:00;SAO LEOPOLDO;LEOPOLDO WASUN, 759, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.73940974869355, -51.13709123202272;;;;;;;;;;;;;;
128;ARNALDO PEREIRA DA SILVA;0;SANTOS DUMONT;2024;21/03/2024;06:30:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.739138,-51.148784;;;;;;;;;;;;;;
129;JOAO ALBERTO;96;FIAO;2024;21/03/2024;21:00:00;SAO LEOPOLDO;JOAO ALBERTO, 96, FIAO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.778385,-51.148572;;;;;;;;;;;;;;
130;FEITORIA;4999;FEITORIA;2024;22/03/2024;20:30:00;SAO LEOPOLDO;FEITORIA, 4999, FEITORIA, SAO LEOPOLDO;COMERCIO;sexta-feira;-29.751917,-51.091210;;;;;;;;;;;;;;
131;SAO BORJA;983;JARDIM AMERICA;2024;23/03/2024;07:30:00;SAO LEOPOLDO;SAO BORJA, 983, JARDIM AMERICA, SAO LEOPOLDO;COMERCIO;sábado;-29.776948,-51.128189;;;;;;;;;;;;;;
132;THOMAZ EDISON;2250;SCHARLAU;2024;23/03/2024;22:30:00;SAO LEOPOLDO;THOMAZ EDISON, 2250, SCHARLAU, SAO LEOPOLDO;PEDESTRE;sábado;-29.735411958957624, -51.15509890318722;;;;;;;;;;;;;;
133;CAPITAO ARMINIO BIER;540;VICENTINA;2024;23/03/2024;22:00:00;SAO LEOPOLDO;CAPITAO ARMINIO BIER, 540, VICENTINA, SAO LEOPOLDO;VEICULO;sábado;-29.776375,-51.162579;;;;;;;;;;;;;;
134;SAO JOAQUIM;1253;CENTRO;2024;24/03/2024;06:00:00;SAO LEOPOLDO;SAO JOAQUIM, 1253, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.769304662089745, -51.14321260318618;;;;;;;;;;;;;;
135;INDEPENDENCIA;4000;CENTRO;2024;25/03/2024;20:30:00;SAO LEOPOLDO;INDEPENDENCIA, 4000, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.76647913167452, -51.14566996085723;;;;;;;;;;;;;;
136;OSCAR BALDUINO PETRY;1363;FAZENDA SAO BORJA;2024;25/03/2024;16:30:00;SAO LEOPOLDO;OSCAR BALDUINO PETRY, 1363, FAZENDA SAO BORJA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.790525042066495, -51.12134616085617;;;;;;;;;;;;;;
137;PRIMEIRO DE MARCO;957;CENTRO;2024;25/03/2024;00:00:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 957, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.770366,-51.145742;;;;;;;;;;;;;;
138;SAO JOAO;601;CENTRO;2024;25/03/2024;22:00:00;SAO LEOPOLDO;SAO JOAO, 601, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.764623,-51.150609;;;;;;;;;;;;;;
139;OSCAR BALDUINO PETRY;1363;FAZENDA SAO BORJA;2024;25/03/2024;16:30:00;SAO LEOPOLDO;OSCAR BALDUINO PETRY, 1363, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;segunda-feira;-29.790525042066495, -51.12134616085617;;;;;;;;;;;;;;
140;MAUA;0;RIO DOS SINOS;2024;25/03/2024;13:30:00;SAO LEOPOLDO;MAUA, 0, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;segunda-feira;-29.744475,-51.144274;;;;;;;;;;;;;;
141;PRESIDENTE VARGAS;461;JARDIM AMERICA;2024;26/03/2024;13:30:00;SAO LEOPOLDO;PRESIDENTE VARGAS, 461, JARDIM AMERICA, SAO LEOPOLDO;RESIDENCIA;terça-feira;-29.782922,-51.126464;;;;;;;;;;;;;;
142;BRASIL CAMORETO GAL;0;SANTA TERESA;2024;26/03/2024;15:00:00;SAO LEOPOLDO;BRASIL CAMORETO GAL, 0, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.786842714356432, -51.13765937591904;;;;;;;;;;;;;;
143;SAO JOAO;601;CENTRO;2024;28/03/2024;18:30:00;SAO LEOPOLDO;SAO JOAO, 601, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.764623,-51.150609;;;;;;;;;;;;;;
144;PEDRO LESSA;199;RIO BRANCO;2024;30/03/2024;16:00:00;SAO LEOPOLDO;PEDRO LESSA, 199, RIO BRANCO, SAO LEOPOLDO;VEICULO;sábado;-29.771162062261503, -51.12625267435063;;;;;;;;;;;;;;
145;NAO SABE;0;SCHARLAU;2024;30/03/2024;15:00:00;SAO LEOPOLDO;NAO SABE, 0, SCHARLAU, SAO LEOPOLDO;VEICULO;sábado;#N/D;;;;;;;;;;;;;;
146;ITU;310;SCHARLAU;2024;01/04/2024;13:00:00;SAO LEOPOLDO;ITU, 310, SCHARLAU, SAO LEOPOLDO;VEICULO;segunda-feira;-29.730222,-51.158238;;;;;;;;;;;;;;
147;IMPERATRIZ LEOPOLDINA;1580;SAO JOSE;2024;02/04/2024;15:00:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 1580, SAO JOSE, SAO LEOPOLDO;COMERCIO;terça-feira;-29.761422,-51.124825;;;;;;;;;;;;;;
148;ALEXANDRE FLEMING;67;SANTOS DUMONT;2024;03/04/2024;19:00:00;SAO LEOPOLDO;ALEXANDRE FLEMING, 67, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.733949,-51.142863;;;;;;;;;;;;;;
149;LINDOLFO COLLOR;2;CENTRO;2024;03/04/2024;23:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 2, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.768873446412492, -51.1487028972024;;;;;;;;;;;;;;
150;SAO JOAQUIM;422;CENTRO;2024;03/04/2024;11:00:00;SAO LEOPOLDO;SAO JOAQUIM, 422, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.762086,-51.144978;;;;;;;;;;;;;;
151;CAMARA MUNICIPAL;0;RIO DOS SINOS;2024;03/04/2024;08:00:00;SAO LEOPOLDO;CAMARA MUNICIPAL, 0, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.753924,-51.150985;;;;;;;;;;;;;;
152;HENRIQUE BIER;1400;CAMPINA;2024;03/04/2024;18:00:00;SAO LEOPOLDO;HENRIQUE BIER, 1400, CAMPINA, SAO LEOPOLDO;VEICULO;quarta-feira;-29.743536105798817, -51.16219530318699;;;;;;;;;;;;;;
153;MARUMBI;110;SCHARLAU;2024;05/04/2024;09:30:00;SAO LEOPOLDO;MARUMBI, 110, SCHARLAU, SAO LEOPOLDO;COMERCIO;sexta-feira;-29.730345,-51.153460;;;;;;;;;;;;;;
154;PORTO BRASILIA;0;CAMPINA;2024;05/04/2024;16:30:00;SAO LEOPOLDO;PORTO BRASILIA, 0, CAMPINA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.750206,-51.160861;;;;;;;;;;;;;;
155;SAO NICOLAU;0;CRISTO REI;2024;06/04/2024;15:30:00;SAO LEOPOLDO;SAO NICOLAU, 0, CRISTO REI, SAO LEOPOLDO;VEICULO;sábado;-29.775515,-51.154097;;;;;;;;;;;;;;
156;THEODOMIRO PORTO DA FONSECA;580;CENTRO;2024;07/04/2024;20:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 580, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.770999526306557, -51.14825470503398;;;;;;;;;;;;;;
157;UNISINOS;0;CRISTO REI;2024;07/04/2024;23:00:00;SAO LEOPOLDO;UNISINOS, 0, CRISTO REI, SAO LEOPOLDO;PEDESTRE;domingo;-29.790165,-51.146417;;;;;;;;;;;;;;
158;ALBINO TIMM;0;FEITORIA;2024;07/04/2024;21:30:00;SAO LEOPOLDO;ALBINO TIMM, 0, FEITORIA, SAO LEOPOLDO;VEICULO;domingo;-29.766167,-51.093218;;;;;;;;;;;;;;
159;CORONEL ATALIBIO TAURINO DE REZENDE;1157;RIO DOS SINOS;2024;08/04/2024;04:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1157, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.746258513058528, -51.14729019021387;;;;;;;;;;;;;;
160;DOM JOAO BECKER;0;SAO MIGUEL;2024;08/04/2024;21:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.761973,-51.154528;;;;;;;;;;;;;;
161;VALERCI MARTINS DA SILVA;242;SCHARLAU;2024;08/04/2024;13:00:00;SAO LEOPOLDO;VALERCI MARTINS DA SILVA, 242, SCHARLAU, SAO LEOPOLDO;VEICULO;segunda-feira;-29.72928344590636, -51.16128528539635;;;;;;;;;;;;;;
162;HENRIQUE BIER;0;ARROIO DA MANTEIGA;2024;09/04/2024;02:00:00;SAO LEOPOLDO;HENRIQUE BIER, 0, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;terça-feira;-29.731504,-51.181773;;;;;;;;;;;;;;
163;ABILIO RODRIGUES CARDOSO;328;ARROIO DA MANTEIGA;2024;10/04/2024;19:30:00;SAO LEOPOLDO;ABILIO RODRIGUES CARDOSO, 328, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.739451769005107, -51.17144317276673;;;;;;;;;;;;;;
164;UNISINOS;246;SAO JOAO BATISTA;2024;10/04/2024;08:00:00;SAO LEOPOLDO;UNISINOS, 246, SAO JOAO BATISTA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.791897,-51.161877;;;;;;;;;;;;;;
165;SIQUEIRA DE CAMPOS;4;SANTOS DUMONT;2024;11/04/2024;13:30:00;SAO LEOPOLDO;SIQUEIRA DE CAMPOS, 4, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.73263862414169, -51.14132456392405;;;;;;;;;;;;;;
166;VISCONDE DE SAO LEOPOLDO;0;VICENTINA;2024;12/04/2024;18:00:00;SAO LEOPOLDO;VISCONDE DE SAO LEOPOLDO, 0, VICENTINA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.775975,-51.158894;;;;;;;;;;;;;;
167;LEOPOLDO ALBINO SCHERER;0;SCHARLAU;2024;12/04/2024;15:00:00;SAO LEOPOLDO;LEOPOLDO ALBINO SCHERER, 0, SCHARLAU, SAO LEOPOLDO;VEICULO;sexta-feira;-29.73264597276875, -51.157884774513704;;;;;;;;;;;;;;
168;CAMPO BOM;255;CAMPINA;2024;14/04/2024;20:00:00;SAO LEOPOLDO;CAMPO BOM, 255, CAMPINA, SAO LEOPOLDO;PEDESTRE;domingo;-29.745405168785453, -51.162319845412;;;;;;;;;;;;;;
169;HENRIQUE BIER;0;ARROIO DA MANTEIGA;2024;15/04/2024;04:30:00;SAO LEOPOLDO;HENRIQUE BIER, 0, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.731504,-51.181773;;;;;;;;;;;;;;
170;JULIO DE CASTILHOS;1203;ARROIO DA MANTEIGA;2024;16/04/2024;19:00:00;SAO LEOPOLDO;JULIO DE CASTILHOS, 1203, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;terça-feira;-29.716450110843084, -51.19160444736517;;;;;;;;;;;;;;
171;DO CEDRO;275;SANTOS DUMONT;2024;17/04/2024;22:30:00;SAO LEOPOLDO;DO CEDRO, 275, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.746245075069456, -51.14060897435155;;;;;;;;;;;;;;
172;JULIANA FORTUNA;0;CAMPESTRE;2024;17/04/2024;23:30:00;SAO LEOPOLDO;JULIANA FORTUNA, 0, CAMPESTRE, SAO LEOPOLDO;VEICULO;quarta-feira;-29.767264,-51.112260;;;;;;;;;;;;;;
173;SAO JOAQUIM;1441;CENTRO;2024;18/04/2024;13:30:00;SAO LEOPOLDO;SAO JOAQUIM, 1441, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.771077,-51.142818;;;;;;;;;;;;;;
174;SALDANHA DA GAMA;8;CENTRO;2024;19/04/2024;17:30:00;SAO LEOPOLDO;SALDANHA DA GAMA, 8, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.76895348805922, -51.14838259643921;;;;;;;;;;;;;;
175;SANTO ANTONIO;1288;CENTRO;2024;20/04/2024;13:00:00;SAO LEOPOLDO;SANTO ANTONIO, 1288, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.769857,-51.150993;;;;;;;;;;;;;;
176;ESPIRITO SANTO;602;SCHARLAU;2024;21/04/2024;21:00:00;SAO LEOPOLDO;ESPIRITO SANTO, 602, SCHARLAU, SAO LEOPOLDO;VEICULO;domingo;-29.737438955716534, -51.15391236802135;;;;;;;;;;;;;;
177;SAO BORJA;1860;FAZENDA SAO BORJA;2024;22/04/2024;17:30:00;SAO LEOPOLDO;SAO BORJA, 1860, FAZENDA SAO BORJA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.781634,-51.122756;;;;;;;;;;;;;;
178;SENADOR SALGADO FILHO;2857;SANTOS DUMONT;2024;22/04/2024;14:30:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 2857, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;segunda-feira;-29.733291,-51.148949;;;;;;;;;;;;;;
179;ARNALDO PEREIRA DA SILVA;122;SANTOS DUMONT;2024;23/04/2024;19:00:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 122, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.73724854040147, -51.14880093698726;;;;;;;;;;;;;;
180;BENTO GONCALVES;873;CENTRO;2024;23/04/2024;21:00:00;SAO LEOPOLDO;BENTO GONCALVES, 873, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.767691,-51.147293;;;;;;;;;;;;;;
181;BRASIL;185;CENTRO;2024;24/04/2024;06:00:00;SAO LEOPOLDO;BRASIL, 185, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.761036,-51.143099;;;;;;;;;;;;;;
182;LACI PEREIRA FIGUEIRO;122;SANTA TERESA;2024;24/04/2024;19:30:00;SAO LEOPOLDO;LACI PEREIRA FIGUEIRO, 122, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.788107288996688, -51.13862702478648;;;;;;;;;;;;;;
183;MAUA;733;CENTRO;2024;24/04/2024;07:00:00;SAO LEOPOLDO;MAUA, 733, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.762664,-51.140756;;;;;;;;;;;;;;
184;OTTO DAUDT;820;FEITORIA;2024;24/04/2024;22:30:00;SAO LEOPOLDO;OTTO DAUDT, 820, FEITORIA, SAO LEOPOLDO;VEICULO;quarta-feira;-29.748721,-51.099480;;;;;;;;;;;;;;
185;DO CEDRO;105;SANTOS DUMONT;2024;25/04/2024;23:00:00;SAO LEOPOLDO;DO CEDRO, 105, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.746082470911894, -51.144141930352674;;;;;;;;;;;;;;
186;ARNALDO PEREIRA DA SILVA;1262;SANTOS DUMONT;2024;27/04/2024;01:00:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 1262, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;sábado;-29.727144110822675, -51.148468356979535;;;;;;;;;;;;;;
187;DOM PEDRO II;117;RIO BRANCO;2024;28/04/2024;13:00:00;SAO LEOPOLDO;DOM PEDRO II, 117, RIO BRANCO, SAO LEOPOLDO;PEDESTRE;domingo;-29.770572,-51.129369;;;;;;;;;;;;;;
188;RIO DOURADOS;703;ARROIO DA MANTEIGA;2024;28/04/2024;23:00:00;SAO LEOPOLDO;RIO DOURADOS, 703, ARROIO DA MANTEIGA, SAO LEOPOLDO;RESIDENCIA;domingo;-29.711664,-51.188151;;;;;;;;;;;;;;
189;OLAVO BILAC;365;JARDIM AMERICA;2024;29/04/2024;16:00:00;SAO LEOPOLDO;OLAVO BILAC, 365, JARDIM AMERICA, SAO LEOPOLDO;COMERCIO;segunda-feira;-29.777144,-51.133741;;;;;;;;;;;;;;
190;NITEROI;225;SCHARLAU;2024;30/04/2024;08:00:00;SAO LEOPOLDO;NITEROI, 225, SCHARLAU, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.741615,-51.153277;;;;;;;;;;;;;;
191;SAO JOAO;251;CENTRO;2024;30/04/2024;18:00:00;SAO LEOPOLDO;SAO JOAO, 251, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.761552114580372, -51.15162628133987;;;;;;;;;;;;;;
192;HENRIQUE BIER;972;CAMPINA;2024;01/05/2024;13:00:00;SAO LEOPOLDO;HENRIQUE BIER, 972, CAMPINA, SAO LEOPOLDO;COMERCIO;quarta-feira;-29.744710,-51.158593;;;;;;;;;;;;;;
193;SALDANHA DA GAMA;0;CENTRO;2024;01/05/2024;18:00:00;SAO LEOPOLDO;SALDANHA DA GAMA, 0, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.762259,-51.149514;;;;;;;;;;;;;;
194;SERGIO BARRA;100;BOA VISTA;2024;01/05/2024;18:30:00;SAO LEOPOLDO;SERGIO BARRA, 100, BOA VISTA, SAO LEOPOLDO;VEICULO;quarta-feira;-29.703497475091485, -51.19487253202392;;;;;;;;;;;;;;
195;JOHN KENNEDY;997;SANTA TERESA;2024;02/05/2024;06:00:00;SAO LEOPOLDO;JOHN KENNEDY, 997, SANTA TERESA, SAO LEOPOLDO;RESIDENCIA;quinta-feira;-29.784710,-51.132020;;;;;;;;;;;;;;
196;OSVALDO ARANHA;1441;SAO MIGUEL;2024;02/05/2024;19:00:00;SAO LEOPOLDO;OSVALDO ARANHA, 1441, SAO MIGUEL, SAO LEOPOLDO;VEICULO;quinta-feira;-29.76449312417047, -51.15510557905985;;;;;;;;;;;;;;
197;SAO DOMINGOS;0;CENTRO;2024;02/05/2024;15:00:00;SAO LEOPOLDO;SAO DOMINGOS, 0, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.766026,-51.152922;;;;;;;;;;;;;;
198;ERMELINDO VARNIERI;553;DUQUE DE CAXIAS;2024;03/05/2024;15:00:00;SAO LEOPOLDO;ERMELINDO VARNIERI, 553, DUQUE DE CAXIAS, SAO LEOPOLDO;VEICULO;sexta-feira;-29.79518767504448, -51.12562083202064;;;;;;;;;;;;;;
199;DA SAUDADE;321;CRISTO REI;2024;06/05/2024;08:00:00;SAO LEOPOLDO;DA SAUDADE, 321, CRISTO REI, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.783984,-51.148759;;;;;;;;;;;;;;
200;ALBINO PRASS;40;PADRE REUS;2024;08/05/2024;20:30:00;SAO LEOPOLDO;ALBINO PRASS, 40, PADRE REUS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.786425,-51.145123;;;;;;;;;;;;;;
201;OSCAR BALDUINO PETRY;245;FAZENDA SAO BORJA;2024;09/05/2024;19:30:00;SAO LEOPOLDO;OSCAR BALDUINO PETRY, 245, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;quinta-feira;-29.79098459695218, -51.1214638166792;;;;;;;;;;;;;;
202;JOAO CORREA;657;SAO JOSE;2024;10/05/2024;22:00:00;SAO LEOPOLDO;JOAO CORREA, 657, SAO JOSE, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.7694046361845, -51.14151503202148;;;;;;;;;;;;;;
203;SAO BORJA;2181;RIO BRANCO;2024;14/05/2024;22:30:00;SAO LEOPOLDO;SAO BORJA, 2181, RIO BRANCO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.784527,-51.118735;;;;;;;;;;;;;;
204;DO QUILOMBO;0;SANTO ANDRE;2024;15/05/2024;21:30:00;SAO LEOPOLDO;DO QUILOMBO, 0, SANTO ANDRE, SAO LEOPOLDO;VEICULO;quarta-feira;-29.773880,-51.087302;;;;;;;;;;;;;;
205;MAUA;3539;SANTA TERESA;2024;20/05/2024;23:00:00;SAO LEOPOLDO;MAUA, 3539, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.787188063743752, -51.14077498969171;;;;;;;;;;;;;;
206;LAGEADO;217;SANTA TERESA;2024;21/05/2024;22:30:00;SAO LEOPOLDO;LAGEADO, 217, SANTA TERESA, SAO LEOPOLDO;VEICULO;terça-feira;-29.790808,-51.131060;;;;;;;;;;;;;;
207;THARCILO NUNES;2045;CAMPESTRE;2024;24/05/2024;10:30:00;SAO LEOPOLDO;THARCILO NUNES, 2045, CAMPESTRE, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.772142,-51.112574;;;;;;;;;;;;;;
